aggregator_type,best_model_path,dropout,feat_name,gpu,lr,model_path_dir,n_epochs,n_hidden,n_layers,shuffle,weight_decay,loss,acc
gcn,Graph_ckpt/best_model_0_20211105-03-50,0.7,feat-all5,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.702172857,0.536028035
gcn,Graph_ckpt/best_model_0_20211108-17-39,0.7,feat-all,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.872165758,0.535884019
gcn,Graph_ckpt/best_model_0_20211108-15-04,0.5,feat-all7,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.701928517,0.535691998
mean,Graph_ckpt/best_model_20211105-02-42,0.7,feat-all5,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.711296802,0.535643992
gcn,Graph_ckpt/best_model_20211109-01-21,0.7,feat-all2,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.709246245,0.535643992
mean,Graph_ckpt/best_model_0_20211104-07-44,0.5,feat-all2,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.703669789,0.535595987
mean,Graph_ckpt/best_model_0_20211105-02-24,0.7,feat-all4,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,5.401729581,0.535547981
mean,Graph_ckpt/best_model_20211103-17-55,0.2,feat-all4,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.704452961,0.535499976
gcn,Graph_ckpt/best_model_0_20211106-03-58,0.5,feat-all2,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.687481664,0.535451971
mean,Graph_ckpt/best_model_0_20211105-20-18,0.2,feat-all5,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.688292007,0.535403965
gcn,Graph_ckpt/best_model_20211109-23-33,0.2,feat-all4,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.792143594,0.535307954
gcn,Graph_ckpt/best_model_0_20211105-12-11,0.2,feat-all2,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.753758584,0.535115933
mean,Graph_ckpt/best_model_0_20211108-09-33,0.5,feat-all4,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.689581215,0.535067928
gcn,Graph_ckpt/best_model_20211107-20-46,0.2,feat-all5,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.769546866,0.535019922
gcn,Graph_ckpt/best_model_0_20211110-08-30,0.5,feat-all4,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.7560477,0.534923911
mean,Graph_ckpt/best_model_20211110-00-44,0.2,feat-all4,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.762911819,0.534923911
mean,Graph_ckpt/best_model_20211107-09-17,0.7,feat-all7,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.691742362,0.534875906
gcn,Graph_ckpt/best_model_0_20211110-23-52,0.7,feat-all4,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,1.56053884,0.534443858
lstm,Graph_ckpt/best_model_0_20211105-01-59,0.7,feat-all4,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.692782874,0.534299842
gcn,Graph_ckpt/best_model_0_20211110-04-14,0.5,feat-all2,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.701258819,0.534299842
mean,Graph_ckpt/best_model_0_20211104-13-40,0.5,feat-all5,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.721147394,0.534203831
gcn,Graph_ckpt/best_model_20211106-15-44,0.5,feat-all7,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.690715177,0.534155825
mean,Graph_ckpt/best_model_20211107-19-35,0.2,feat-all4,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.733055887,0.53410782
pool,Graph_ckpt/best_model_20211106-10-15,0.5,feat-all4,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,2.490242886,0.533963804
gcn,Graph_ckpt/best_model_20211109-08-48,0.7,feat-all5,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.699054317,0.533867793
mean,Graph_ckpt/best_model_20211103-13-56,0.2,feat-all2,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.725566649,0.533819788
pool,Graph_ckpt/best_model_20211103-18-26,0.2,feat-all4,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,4.560389517,0.533819788
gcn,Graph_ckpt/best_model_0_20211105-01-21,0.7,feat-all4,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,3.69094334,0.533723777
lstm,Graph_ckpt/best_model_20211109-23-52,0.2,feat-all4,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.702855251,0.533723777
