stock,influence_jyr_date,feature,label
601336,20190307,"[0.0, 0.0, 0.0, 0.0, 0.06282197684049606, 0.0, 0.0, 0.0, 0.0025389976799488068, 0.28764811158180237, 0.0, 0.0, 0.0, 0.0, 0.22881722450256348, 0.0]",0
601336,20190404,"[0.0, 0.0, 0.01720750704407692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12550412118434906, 0.12840187549591064, 0.0035820240154862404, 0.0, 0.1384119689464569, 0.07722056657075882, 0.030102591961622238, 0.0]",1
601336,20190412,"[0.45406293869018555, 0.0, 0.34240490198135376, 0.0, 0.2621920108795166, 0.0, 0.0, 0.0, 0.09896765649318695, 0.47150468826293945, 0.0, 0.0, 0.17594465613365173, 0.0, 0.570556640625, 0.17297136783599854]",0
601336,20190506,"[0.0, 0.0, 0.34862104058265686, 0.0, 0.052054159343242645, 0.0, 0.0, 0.07042093575000763, 0.0, 0.5719940662384033, 0.0, 0.08449894189834595, 0.17878544330596924, 0.0, 0.3267408311367035, 0.08010544627904892]",0
601336,20190515,"[0.31002455949783325, 0.0, 0.26533710956573486, 0.0, 0.3344874680042267, 0.0, 0.0, 0.0, 0.0, 0.4289718568325043, 0.0, 0.0, 0.10790250450372696, 0.0, 0.5021800398826599, 0.16116955876350403]",1
601336,20190529,"[0.4364524483680725, 0.0, 0.3595459759235382, 0.0, 0.33106887340545654, 0.0, 0.0, 0.0, 0.028281018137931824, 0.5011705756187439, 0.0, 0.0, 0.14760331809520721, 0.0, 0.6123721599578857, 0.18082278966903687]",1
601336,20190530,"[0.480998158454895, 0.0, 0.38568586111068726, 0.0, 0.2928343713283539, 0.0, 0.0, 0.0, 0.11954934895038605, 0.5139455795288086, 0.0, 0.0, 0.1691005378961563, 0.0, 0.6362959146499634, 0.18175947666168213]",0
601336,20190531,"[0.0, 0.0, 0.0, 0.22463466227054596, 0.0, 0.0, 0.0, 0.2240469753742218, 0.0, 0.0, 0.0, 0.0, 0.46720707416534424, 0.6243142485618591, 0.0, 0.0]",0
601336,20190604,"[0.1636665016412735, 0.0, 0.2602676749229431, 0.0, 0.2745446562767029, 0.0, 0.0, 0.0, 0.0, 0.44240301847457886, 0.0, 0.0, 0.07469755411148071, 0.0, 0.4670487940311432, 0.12807518243789673]",0
601336,20190610,"[0.0, 0.0, 0.11350998282432556, 0.0, 0.0, 0.0, 0.0, 0.04098380729556084, 0.04438893869519234, 0.30194687843322754, 0.06372974067926407, 0.007252499461174011, 0.14465230703353882, 0.08340045809745789, 0.21014662086963654, 0.0]",1
601336,20190620,"[0.28349775075912476, 0.0, 0.24092307686805725, 0.0, 0.18929055333137512, 0.0, 0.0, 0.0, 0.0, 0.34909138083457947, 0.0, 0.0, 0.11178772151470184, 0.0, 0.40130147337913513, 0.12462475150823593]",1
601336,20190625,"[0.0, 0.0, 0.1777055561542511, 0.0, 0.0, 0.0, 0.0, 0.39918217062950134, 0.06330050528049469, 0.4920479357242584, 0.18178167939186096, 0.23795659840106964, 0.0077647194266319275, 0.08631407469511032, 0.29805678129196167, 0.0]",0
601336,20190627,"[0.0135967917740345, 0.0, 0.14556491374969482, 0.0, 0.08253028243780136, 0.0, 0.0, 0.0, 0.12463736534118652, 0.3781859874725342, 0.0, 0.0, 0.0, 0.0, 0.3166486918926239, 0.0]",1
601336,20190701,"[0.0, 0.0, 0.08747754245996475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004334624856710434, 0.2292172908782959, 0.029511190950870514, 0.0, 0.1244383156299591, 0.0626351460814476, 0.1633443385362625, 0.0]",1
601336,20190708,"[0.0, 0.0, 0.1522570699453354, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2880379259586334, 0.038253460079431534, 0.0, 0.050061360001564026, 0.0, 0.2966954708099365, 0.0]",0
601336,20190718,"[0.0, 0.0, 0.0889660194516182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18227162957191467, 0.002835310995578766, 0.0, 0.08848341554403305, 0.020580779761075974, 0.14709869027137756, 0.0]",0
