stock,influence_jyr_date,feature,label
000063,20190520,[0.5085080862045288],0
000063,20190521,[0.6397331953048706],1
000063,20190523,[0.48005411028862],0
000063,20190527,[0.6519237756729126],1
000063,20190528,[0.5444338917732239],1
000063,20190529,[0.6765847206115723],0
000063,20190530,[0.46742090582847595],0
000063,20190531,[0.4860834777355194],1
000063,20190603,[0.650010347366333],1
000063,20190604,[0.5033853650093079],1
000063,20190606,[0.5826412439346313],0
000063,20190610,[0.6208396553993225],1
000063,20190617,[0.638274073600769],0
000063,20190618,[0.6305405497550964],1
000063,20190619,[0.475667804479599],1
000063,20190624,[0.6308050155639648],0
000063,20190625,[0.5058686137199402],1
000063,20190626,[0.6649282574653625],0
000063,20190627,[0.54789137840271],1
000063,20190628,[0.6454460620880127],0
000063,20190702,[0.6509205102920532],1
000063,20190704,[0.47354286909103394],1
000063,20190708,[0.6191462278366089],0
000063,20190709,[0.5157928466796875],0
000063,20190711,[0.6550000905990601],0
000063,20190712,[0.6302114725112915],1
000063,20190715,[0.6633410453796387],1
000063,20190716,[0.6217765808105469],1
000063,20190717,[0.4880959689617157],0
000063,20190718,[0.5637078881263733],0
000063,20190719,[0.6800092458724976],0
000063,20190723,[0.6068493723869324],1
000063,20190725,[0.6157050132751465],1
000063,20190726,[0.632816731929779],1
000063,20190729,[0.6401100754737854],0
000063,20190731,[0.5227092504501343],0
000063,20190802,[0.5858252048492432],0
000063,20190805,[0.6531040668487549],0
000063,20190806,[0.48745277523994446],0
000063,20190807,[0.6316148042678833],0
000063,20190808,[0.6848161220550537],1
000063,20190809,[0.2902233600616455],0
000063,20190812,[0.4585697650909424],1
000063,20190813,[0.6350317001342773],0
000063,20190814,[0.5173967480659485],1
000063,20190815,[0.48596954345703125],0
000063,20190819,[0.5107041597366333],1
000063,20190820,[0.6845630407333374],0
000063,20190821,[0.5044527053833008],1
000063,20190822,[0.6316825747489929],0
000063,20190823,[0.6747710108757019],0
000063,20190826,[0.6283679604530334],0
000063,20190827,[0.6844969391822815],1
000063,20190828,[0.5833606719970703],1
000063,20190829,[0.5239667892456055],0
000063,20190830,[0.47837725281715393],0
000063,20190903,[0.6329801082611084],1
000063,20190904,[0.5888368487358093],0
000063,20190906,[0.6823803782463074],1
000063,20190909,[0.47013089060783386],1
000063,20190910,[0.5446022152900696],1
000063,20190911,[0.672785758972168],0
000063,20190916,[0.47504541277885437],0
000063,20190917,[0.48604816198349],0
000063,20190918,[0.6649996638298035],0
000063,20190919,[0.6487686634063721],1
000063,20190920,[0.630407989025116],0
000063,20190923,[0.5160714387893677],0
000063,20190926,[0.6077855825424194],0
000063,20190927,[0.6753948926925659],1
000063,20190930,[0.6163894534111023],0
000063,20191008,[0.6379559636116028],0
000063,20191010,[0.617633044719696],1
000063,20191011,[0.6844565272331238],1
000063,20191014,[0.6835052967071533],1
000063,20191015,[0.48555952310562134],0
000063,20191016,[0.5818018913269043],0
000063,20191017,[0.47197839617729187],1
000063,20191018,[0.6846562623977661],1
000063,20191021,[0.6566073894500732],0
000063,20191022,[0.6041287183761597],1
000063,20191023,[0.6255975961685181],1
000063,20191106,[0.5421614646911621],0
000063,20191114,[0.6302673816680908],1
000063,20191118,[0.6680665612220764],1
000063,20191202,[0.5233339071273804],0
000063,20200224,[0.5168139338493347],1
000063,20200309,[0.4718323349952698],1
000063,20200313,[0.6302646398544312],0
000063,20200316,[0.481466144323349],0
000063,20200317,[0.3449839949607849],0
000063,20200318,[0.48167482018470764],0
000063,20200319,[0.6398614645004272],1
000063,20200320,[0.6797984838485718],1
000063,20200324,[0.6301923990249634],1
000063,20200326,[0.6015875935554504],0
000063,20200330,[0.6302571296691895],0
000063,20200331,[0.6356964111328125],1
000063,20200402,[0.6317757368087769],1
000063,20200403,[0.47450971603393555],0
000063,20200408,[0.4154478907585144],0
000063,20200409,[0.4870443046092987],0
000063,20200410,[0.47256600856781006],0
000063,20200413,[0.6443865895271301],0
000063,20200414,[0.5708736181259155],1
000063,20200415,[0.5887101888656616],0
000063,20200416,[0.6302026510238647],0
000063,20200417,[0.6092990636825562],1
000063,20200420,[0.6426401138305664],1
000063,20200421,[0.5489209890365601],0
000063,20200422,[0.7064830660820007],1
000063,20200427,[0.46970534324645996],1
000063,20200428,[0.6360346674919128],1
000063,20200430,[0.631123423576355],1
000066,20181116,[0.596462070941925],1
000066,20181207,[0.5462676882743835],1
000066,20181218,[0.4803776443004608],0
000066,20190301,[0.5435107946395874],1
000066,20190308,[0.6150533556938171],1
000066,20190315,[0.6023582816123962],0
000066,20190322,[0.5436903834342957],1
000066,20190508,[0.48037490248680115],1
000066,20190509,[0.5911038517951965],1
000066,20190521,[0.47978565096855164],1
000066,20190531,[0.5913135409355164],1
000066,20190603,[0.5887987017631531],0
000066,20190620,[0.6313073039054871],1
000066,20190621,[0.6246751546859741],1
000066,20190624,[0.5763725638389587],1
000066,20190627,[0.5859187245368958],1
000066,20190704,[0.5673662424087524],1
000066,20190709,[0.5374041795730591],0
000066,20190711,[0.4823369085788727],0
000066,20190712,[0.5243498086929321],1
000066,20190729,[0.6409050822257996],0
000066,20190808,[0.587653636932373],1
000066,20190812,[0.6099861860275269],1
000066,20190819,[0.4784848093986511],1
000066,20190826,[0.4829168915748596],1
000066,20190830,[0.5857741832733154],0
000066,20190902,[0.4822853207588196],1
000066,20190909,[0.6000952124595642],1
000066,20190910,[0.5853173732757568],0
000066,20190916,[0.5403967499732971],1
000066,20190918,[0.624485433101654],0
000066,20190923,[0.48227930068969727],1
000066,20190924,[0.5840697288513184],1
000066,20191008,[0.602877676486969],0
000066,20191009,[0.583621621131897],1
000066,20191010,[0.5374743938446045],1
000066,20191111,[0.5855160355567932],0
000066,20200325,[0.4825746417045593],1
000066,20200413,[0.4823225438594818],0
000069,20181105,[0.5900363326072693],0
000069,20181128,[0.8549326062202454],1
000069,20181211,[0.521007239818573],1
000069,20181214,[0.5050125122070312],0
000069,20190102,[0.5777889490127563],0
000069,20190109,[0.5878931879997253],1
000069,20190111,[0.6093635559082031],0
000069,20190115,[0.5754202604293823],1
000069,20190213,[0.47323307394981384],1
000069,20190218,[0.6118634939193726],1
000069,20190304,[0.5221585035324097],1
000069,20190401,[0.5840795636177063],1
000069,20190422,[0.5707575082778931],0
000069,20190429,[0.6224418878555298],1
000069,20190513,[0.5204404592514038],0
000069,20190514,[0.6056631803512573],1
000069,20190517,[0.5820956826210022],0
000069,20190523,[0.5240744352340698],0
000069,20190530,[0.5627629160881042],0
000069,20190531,[0.5273733139038086],1
000069,20190603,[0.5440443754196167],1
000069,20190606,[0.4575357735157013],0
000069,20190611,[0.6205423474311829],1
000069,20190614,[0.4719868302345276],0
000069,20190619,[0.4903888404369354],1
000069,20190621,[0.5744073390960693],1
000069,20190626,[0.5782335996627808],0
000069,20190702,[0.47202950716018677],1
000069,20190703,[0.47379326820373535],1
000069,20190710,[0.4779129922389984],0
000069,20190719,[0.4845058023929596],1
000069,20190722,[0.607895016670227],0
000069,20190724,[0.6087005734443665],1
000069,20190725,[0.5902549624443054],0
000069,20190729,[0.4710564911365509],0
000069,20190730,[0.6074007153511047],1
000069,20190731,[0.6074215173721313],0
000069,20190801,[0.5883341431617737],0
000069,20190802,[0.6073004007339478],0
000069,20190805,[0.6107410788536072],0
000069,20190806,[0.5864205360412598],1
000069,20190807,[0.586634635925293],1
000069,20190809,[0.42455732822418213],0
000069,20190812,[0.6088430285453796],1
000069,20190816,[0.5883978009223938],0
000069,20190819,[0.6089750528335571],1
000069,20190822,[0.5866826772689819],0
000069,20190827,[0.4741017818450928],1
000069,20190828,[0.5771238803863525],0
000069,20190829,[0.5114027261734009],0
000069,20190830,[0.5783941149711609],1
000069,20190902,[0.5867708921432495],1
000069,20190909,[0.586787223815918],0
000069,20190911,[0.5623305439949036],1
000069,20190916,[0.572773814201355],0
000069,20190917,[0.4781892001628876],0
000069,20190923,[0.6070208549499512],0
000069,20190924,[0.4765278398990631],1
000069,20190927,[0.58614581823349],0
000069,20191008,[0.5865081548690796],1
000069,20191010,[0.6313958168029785],0
000069,20191015,[0.6223932504653931],0
000069,20191018,[0.5664190649986267],0
000069,20191022,[0.47495532035827637],1
000069,20191028,[0.6128389239311218],0
000069,20191118,[0.5606046915054321],0
000069,20200302,[0.6046527624130249],1
000069,20200312,[0.47135984897613525],0
000069,20200313,[0.5194501280784607],0
000069,20200316,[0.5726422667503357],0
000069,20200317,[0.5807257890701294],0
000069,20200318,[0.5096727013587952],0
000069,20200319,[0.5419684648513794],0
000069,20200323,[0.521226167678833],0
000069,20200325,[0.5701632499694824],1
000069,20200331,[0.47347888350486755],0
000069,20200403,[0.6014852523803711],1
